name,headline,location,company,category,stage,background,score,tier,conversation_starter,linkedin_url
Dr. Ananya Reddy,Building AI-powered diagnostic platform | Ex-Google Health | IIT Delhi,"Bangalore, Karnataka, India",Stealth Health AI,Health x AI,Stealth,"Ex-Google Health, IIT Delhi",100,A,"Hi Dr. Ananya Reddy! I noticed you're building Stealth Health AI in health x AI from Bangalore, Karnataka, India. Your background in Ex-Google Health, IIT Delhi is exactly what we look for at Antler. Would love to learn more about how you're applying AI to healthcare challenges in India.",https://www.linkedin.com/in/ananya-reddy-healthai
Krishna Kumar,Building AI-powered consumer insights platform | Ex-Flipkart | IIT Bombay,"Bangalore, Karnataka, India",ConsumerAI,Consumer x AI,Stealth,"Ex-Flipkart, IIT Bombay",100,A,"Hi Krishna Kumar! I noticed you're building ConsumerAI in consumer tech with AI from Bangalore, Karnataka, India. Your background in Ex-Flipkart, IIT Bombay is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/krishna-kumar-consumerai
Aditya Sharma,Building healthtech platform | IIT Bombay 2024 | Ex-Google Intern,"Mumbai, Maharashtra, India",HealthTech Startup,Health x AI,Stealth,"IIT Bombay 2024, Ex-Google Intern",100,A,"Hi Aditya Sharma! I noticed you're building HealthTech Startup in health x AI from Mumbai, Maharashtra, India. Your background in IIT Bombay 2024, Ex-Google Intern is exactly what we look for at Antler. Would love to learn more about how you're applying AI to healthcare challenges in India.",https://www.linkedin.com/in/aditya-sharma-iitb2024
Vikrant Singh,Building fintech solution | BITS Pilani 2024 | Ex-Razorpay Intern,"Delhi, India",FinTech Startup,Consumer x AI,Stealth,"BITS Pilani 2024, Ex-Razorpay Intern",100,A,"Hi Vikrant Singh! I noticed you're building FinTech Startup in consumer tech with AI from Delhi, India. Your background in BITS Pilani 2024, Ex-Razorpay Intern is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/vikrant-singh-bits2024
Arjun Mehta,Building health AI platform | Ex-Google Health | Stanford MS,"Bangalore, Karnataka, India",Health AI Platform,Health x AI,Stealth,"Ex-Google Health, Stanford MS",100,A,"Hi Arjun Mehta! I noticed you're building Health AI Platform in health x AI from Bangalore, Karnataka, India. Your background in Ex-Google Health, Stanford MS is exactly what we look for at Antler. Would love to learn more about how you're applying AI to healthcare challenges in India.",https://www.linkedin.com/in/arjun-mehta-google
Rohan Kapoor,Building proptech AI platform | Ex-Apple | Stanford MBA,"Delhi, India",PropTech AI Platform,Consumer x AI,Stealth,"Ex-Apple, Stanford MBA",100,A,"Hi Rohan Kapoor! I noticed you're building PropTech AI Platform in consumer tech with AI from Delhi, India. Your background in Ex-Apple, Stanford MBA is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/rohan-kapoor-apple
Vikram Desai,Building fintech AI platform | Ex-Amazon | IIT Bombay,"Gurgaon, Haryana, India",FinTech AI Platform,Consumer x AI,Stealth,"Ex-Amazon, IIT Bombay",98,A,"Hi Vikram Desai! I noticed you're building FinTech AI Platform in consumer tech with AI from Gurgaon, Haryana, India. Your background in Ex-Amazon, IIT Bombay is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/vikram-desai-amazon
Priya Sharma,Co-founder at MentalHealthTech | Building AI therapy platform | Ex-Meta,"Mumbai, Maharashtra, India",MentalHealthTech,Health x AI,Early Stage,"Ex-Meta, IIM Bangalore",95,A,"Hi Priya Sharma! I noticed you're building MentalHealthTech in health x AI from Mumbai, Maharashtra, India. Your background in Ex-Meta, IIM Bangalore is exactly what we look for at Antler. Would love to learn more about how you're applying AI to healthcare challenges in India.",https://www.linkedin.com/in/priya-sharma-mentalhealth
Anita Reddy,Co-founder at NutriTech | AI-powered nutrition platform | Ex-1mg,"Hyderabad, Telangana, India",NutriTech,Health x AI,Stealth,"Ex-1mg, IIT Madras",95,A,"Hi Anita Reddy! I noticed you're building NutriTech in health x AI from Hyderabad, Telangana, India. Your background in Ex-1mg, IIT Madras is exactly what we look for at Antler. Would love to learn more about how you're applying AI to healthcare challenges in India.",https://www.linkedin.com/in/anita-reddy-nutritech
Riya Patel,Co-founder at consumer AI platform | IIM Bangalore 2024 | Ex-Amazon Intern,"Bangalore, Karnataka, India",Consumer AI Platform,Consumer x AI,Early Stage,"IIM Bangalore 2024, Ex-Amazon Intern",95,A,"Hi Riya Patel! I noticed you're building Consumer AI Platform in consumer tech with AI from Bangalore, Karnataka, India. Your background in IIM Bangalore 2024, Ex-Amazon Intern is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/riya-patel-iimb2024
Priya Iyer,Co-founder at consumer AI startup | Ex-Meta AI | MIT PhD,"Mumbai, Maharashtra, India",Consumer AI Startup,Consumer x AI,Early Stage,"Ex-Meta AI, MIT PhD",95,A,"Hi Priya Iyer! I noticed you're building Consumer AI Startup in consumer tech with AI from Mumbai, Maharashtra, India. Your background in Ex-Meta AI, MIT PhD is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/priya-iyer-meta
Arjun Malhotra,Founder at RetailTech Solutions | AI-driven retail analytics | Ex-Amazon,"Chennai, Tamil Nadu, India",RetailTech Solutions,Consumer x AI,Early Stage,"Ex-Amazon, IIT Madras",93,A,"Hi Arjun Malhotra! I noticed you're building RetailTech Solutions in consumer tech with AI from Chennai, Tamil Nadu, India. Your background in Ex-Amazon, IIT Madras is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/arjun-malhotra-retailtech
Divya Gupta,Co-founder at FoodTech AI | AI-powered food delivery optimization | Ex-Swiggy,"Noida, Uttar Pradesh, India",FoodTech AI,Consumer x AI,Stealth,"Ex-Swiggy, IIM Bangalore",93,A,"Hi Divya Gupta! I noticed you're building FoodTech AI in consumer tech with AI from Noida, Uttar Pradesh, India. Your background in Ex-Swiggy, IIM Bangalore is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/divya-gupta-foodtech
Rahul Kumar,Building proptech solution | IIT Madras 2024 | Ex-NoBroker Intern,"Chennai, Tamil Nadu, India",PropTech Startup,Consumer x AI,Stealth,"IIT Madras 2024, Ex-NoBroker Intern",93,A,"Hi Rahul Kumar! I noticed you're building PropTech Startup in consumer tech with AI from Chennai, Tamil Nadu, India. Your background in IIT Madras 2024, Ex-NoBroker Intern is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/rahul-kumar-iitm2024
Meera Nair,Co-founder at edtech AI startup | Ex-Microsoft | IIM Bangalore,"Pune, Maharashtra, India",EdTech AI Startup,Consumer x AI,Early Stage,"Ex-Microsoft, IIM Bangalore",93,A,"Hi Meera Nair! I noticed you're building EdTech AI Startup in consumer tech with AI from Pune, Maharashtra, India. Your background in Ex-Microsoft, IIM Bangalore is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/meera-nair-microsoft
Ananya Reddy,Co-founder at edtech platform | IIT Delhi 2024 | Ex-BYJU'S Intern,"Hyderabad, Telangana, India",EdTech Platform,Consumer x AI,Early Stage,"IIT Delhi 2024, Ex-BYJU'S Intern",90,A,"Hi Ananya Reddy! I noticed you're building EdTech Platform in consumer tech with AI from Hyderabad, Telangana, India. Your background in IIT Delhi 2024, Ex-BYJU'S Intern is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/ananya-reddy-iitd2024
Vikram Singh,Founder at FitnessAI | Computer vision fitness tracking | Ex-Cult.fit,"Pune, Maharashtra, India",FitnessAI,Health x AI,Early Stage,"Ex-Cult.fit, BITS Pilani",88,A,"Hi Vikram Singh! I noticed you're building FitnessAI in health x AI from Pune, Maharashtra, India. Your background in Ex-Cult.fit, BITS Pilani is exactly what we look for at Antler. Would love to learn more about how you're applying AI to healthcare challenges in India.",https://www.linkedin.com/in/vikram-singh-fitnessai
Rohit Verma,Building AI-driven fintech platform | Ex-Razorpay | IIT Delhi,"Ahmedabad, Gujarat, India",FinTech AI,Consumer x AI,Early Stage,"Ex-Razorpay, IIT Delhi",85,A,"Hi Rohit Verma! I noticed you're building FinTech AI in consumer tech with AI from Ahmedabad, Gujarat, India. Your background in Ex-Razorpay, IIT Delhi is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/rohit-verma-fintech
